# Distnaces between sets [move, from, to]
param l :=
[1,*,*]:
    1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 :=
1   5 8.24621 11.7047 14.3178 16.5605 18.0278 18.8215 19.105 19.4165 19.6977 20.6155 2.82843 4.12311 6.7082 9.17878 11.1803 12.816 14.3178 16.0312 18.1108
2   7.07107 8.544 11.0454 13.0384 14.8071 15.8114 16.1012 15.8114 15.5563 15.2643 15.8114 7.28011 9.05539 11.4018 13.7568 15.8114 17.5855 19.2354 21.0238 23.0868
3   7.07107 10.6301 14.2127 17.0294 19.4743 21.2132 22.3439 23.0217 23.7065 24.3516 25.4951 3.60555 1.41421 3.16228 5.40833 7.07107 8.32166 9.48683 11.0454 13.1529
4   11.1803 14.4222 17.8045 20.6155 23.1138 25 26.3486 27.2947 28.2312 29.1204 30.4138 8.24621 6.08276 5 4.92443 5 4.92443 5 6.08276 8.24621
5   11.1803 11.3137 12.53 13.6015 14.6373 15 14.6373 13.6015 12.53 11.3137 11.1803 12.1655 14.0357 16.2788 18.554 20.6155 22.4555 24.1868 26.0192 28.0713
6   5 2.82843 4.12311 6.7082 9.17878 11.1803 12.816 14.3178 16.0312 18.1108 20.6155 8.24621 11.7047 14.3178 16.5605 18.0278 18.8215 19.105 19.4165 19.6977
7   7.07107 3.60555 1.41421 3.16228 5.40833 7.07107 8.32166 9.48683 11.0454 13.1529 15.8114 10.6301 14.2127 17.0294 19.4743 21.2132 22.3439 23.0217 23.7065 24.3516
8   7.07107 7.28011 9.05539 11.4018 13.7568 15.8114 17.5855 19.2354 21.0238 23.0868 25.4951 8.544 11.0454 13.0384 14.8071 15.8114 16.1012 15.8114 15.5563 15.2643
9   11.1803 12.1655 14.0357 16.2788 18.554 20.6155 22.4555 24.1868 26.0192 28.0713 30.4138 11.3137 12.53 13.6015 14.6373 15 14.6373 13.6015 12.53 11.3137
10   11.1803 8.24621 6.08276 5 4.92443 5 4.92443 5 6.08276 8.24621 11.1803 14.4222 17.8045 20.6155 23.1138 25 26.3486 27.2947 28.2312 29.1204
11   0 3.60555 7.2111 10 12.4197 14.1421 15.3052 16.1245 17.088 18.2483 20 3.60555 7.2111 10 12.4197 14.1421 15.3052 16.1245 17.088 18.2483
12   5 4.24264 6.08276 8.06226 9.96243 11.1803 11.8004 12.0416 12.53 13.3417 15 7.61577 10.8167 13.6015 16.1012 18.0278 19.4743 20.6155 21.8403 23.1948
13   5 7.61577 10.8167 13.6015 16.1012 18.0278 19.4743 20.6155 21.8403 23.1948 25 4.24264 6.08276 8.06226 9.96243 11.1803 11.8004 12.0416 12.53 13.3417
14   10 12.3693 15.2315 17.8885 20.3531 22.3607 23.9635 25.2982 26.6833 28.1603 30 8.544 8.48528 8.94427 9.70824 10 9.70824 8.94427 8.48528 8.544
15   10 8.544 8.48528 8.94427 9.70824 10 9.70824 8.94427 8.48528 8.544 10 12.3693 15.2315 17.8885 20.3531 22.3607 23.9635 25.2982 26.6833 28.1603
16   10 7.28011 5.65685 6.32456 8.01561 10 12.0104 14.1421 16.4924 19.3132 22.3607 13.1529 16.4924 18.9737 21.0772 22.3607 22.8965 22.8035 22.6274 22.2036
