#Distances within a set [set, dot1, dot2]
param r :=
[1,*,*]:
    1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 :=
1   0 5 5 10 10 10 11.1803 11.1803 14.1421 14.1421 5 7.07107 7.07107 11.1803 11.1803 15 15.8114 15.8114 18.0278 18.0278
2   5 0 10 15 5 11.1803 10 14.1421 18.0278 11.1803 7.07107 5 11.1803 15.8114 7.07107 15.8114 15 18.0278 21.2132 15.8114
3   5 10 0 5 15 11.1803 14.1421 10 11.1803 18.0278 7.07107 11.1803 5 7.07107 15.8114 15.8114 18.0278 15 15.8114 21.2132
4   10 15 5 0 20 14.1421 18.0278 11.1803 10 22.3607 11.1803 15.8114 7.07107 5 20.6155 18.0278 21.2132 15.8114 15 25
5   10 5 15 20 0 14.1421 11.1803 18.0278 22.3607 10 11.1803 7.07107 15.8114 20.6155 5 18.0278 15.8114 21.2132 25 15
6   10 11.1803 11.1803 14.1421 14.1421 0 5 5 10 10 5 7.07107 7.07107 11.1803 11.1803 5 7.07107 7.07107 11.1803 11.1803
7   11.1803 10 14.1421 18.0278 11.1803 5 0 10 15 5 7.07107 5 11.1803 15.8114 7.07107 7.07107 5 11.1803 15.8114 7.07107
8   11.1803 14.1421 10 11.1803 18.0278 5 10 0 5 15 7.07107 11.1803 5 7.07107 15.8114 7.07107 11.1803 5 7.07107 15.8114
9   14.1421 18.0278 11.1803 10 22.3607 10 15 5 0 20 11.1803 15.8114 7.07107 5 20.6155 11.1803 15.8114 7.07107 5 20.6155
10   14.1421 11.1803 18.0278 22.3607 10 10 5 15 20 0 11.1803 7.07107 15.8114 20.6155 5 11.1803 7.07107 15.8114 20.6155 5
11   5 7.07107 7.07107 11.1803 11.1803 5 7.07107 7.07107 11.1803 11.1803 0 5 5 10 10 10 11.1803 11.1803 14.1421 14.1421
12   7.07107 5 11.1803 15.8114 7.07107 7.07107 5 11.1803 15.8114 7.07107 5 0 10 15 5 11.1803 10 14.1421 18.0278 11.1803
13   7.07107 11.1803 5 7.07107 15.8114 7.07107 11.1803 5 7.07107 15.8114 5 10 0 5 15 11.1803 14.1421 10 11.1803 18.0278
14   11.1803 15.8114 7.07107 5 20.6155 11.1803 15.8114 7.07107 5 20.6155 10 15 5 0 20 14.1421 18.0278 11.1803 10 22.3607
15   11.1803 7.07107 15.8114 20.6155 5 11.1803 7.07107 15.8114 20.6155 5 10 5 15 20 0 14.1421 11.1803 18.0278 22.3607 10
16   15 15.8114 15.8114 18.0278 18.0278 5 7.07107 7.07107 11.1803 11.1803 10 11.1803 11.1803 14.1421 14.1421 0 5 5 10 10
17   15.8114 15 18.0278 21.2132 15.8114 7.07107 5 11.1803 15.8114 7.07107 11.1803 10 14.1421 18.0278 11.1803 5 0 10 15 5
18   15.8114 18.0278 15 15.8114 21.2132 7.07107 11.1803 5 7.07107 15.8114 11.1803 14.1421 10 11.1803 18.0278 5 10 0 5 15
19   18.0278 21.2132 15.8114 15 25 11.1803 15.8114 7.07107 5 20.6155 14.1421 18.0278 11.1803 10 22.3607 10 15 5 0 20
20   18.0278 15.8114 21.2132 25 15 11.1803 7.07107 15.8114 20.6155 5 14.1421 11.1803 18.0278 22.3607 10 10 5 15 20 0

[2,*,*]:
    1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 :=
1   0 3.60555 7.2111 10 12.4197 14.1421 15.3052 16.1245 17.088 18.2483 20 3.60555 7.2111 10 12.4197 14.1421 15.3052 16.1245 17.088 18.2483
2   3.60555 0 3.60555 6.40312 8.8459 10.6301 11.9269 13 14.3178 16 18.2483 7.2111 10.8167 13.6015 16.0078 17.6918 18.7683 19.4165 20.1246 20.8806
3   7.2111 3.60555 0 2.82843 5.31507 7.2111 8.73212 10.198 12 14.3178 17.088 10.8167 14.4222 17.2047 19.6023 21.2603 22.2767 22.8035 23.3238 23.7697
4   10 6.40312 2.82843 0 2.5 4.47214 6.18466 8 10.198 13 16.1245 13.6015 17.2047 20 22.4109 24.0832 25.1048 25.6125 26.0768 26.4008
5   12.4197 8.8459 5.31507 2.5 0 2.06155 4 6.18466 8.73212 11.9269 15.3052 16.0078 19.6023 22.4109 24.8395 26.5377 27.5862 28.1114 28.5701 28.8487
6   14.1421 10.6301 7.2111 4.47214 2.06155 0 2.06155 4.47214 7.2111 10.6301 14.1421 17.6918 21.2603 24.0832 26.5377 28.2843 29.3981 30 30.5287 30.8707
7   15.3052 11.9269 8.73212 6.18466 4 2.06155 0 2.5 5.31507 8.8459 12.4197 18.7683 22.2767 25.1048 27.5862 29.3981 30.6105 31.3409 32.0039 32.5
8   16.1245 13 10.198 8 6.18466 4.47214 2.5 0 2.82843 6.40312 10 19.4165 22.8035 25.6125 28.1114 30 31.3409 32.249 33.1059 33.8378
9   17.088 14.3178 12 10.198 8.73212 7.2111 5.31507 2.82843 0 3.60555 7.2111 20.1246 23.3238 26.0768 28.5701 30.5287 32.0039 33.1059 34.176 35.171
10   18.2483 16 14.3178 13 11.9269 10.6301 8.8459 6.40312 3.60555 0 3.60555 20.8806 23.7697 26.4008 28.8487 30.8707 32.5 33.8378 35.171 36.4966
11   20 18.2483 17.088 16.1245 15.3052 14.1421 12.4197 10 7.2111 3.60555 0 22.2036 24.7386 27.2029 29.5677 31.6228 33.3804 34.9285 36.4966 38.1182
12   3.60555 7.2111 10.8167 13.6015 16.0078 17.6918 18.7683 19.4165 20.1246 20.8806 22.2036 0 3.60555 6.40312 8.8459 10.6301 11.9269 13 14.3178 16
